user_id,timestamp,event_type,source_tower_id,source_lat,source_lon,source_area,dest_tower_id,dest_lat,dest_lon,dest_area,duration_seconds,day_of_week,hour_of_day,home_area,work_area
USR_0213,2025-03-17 06:00:00,data_session,TWR_011,19.056717,72.842839,Bandra West,TWR_011,19.055976,72.842094,Bandra West,565,Monday,6,Bandra West,Kandivali
USR_0045,2025-03-17 06:00:01,sms,TWR_011,19.052743,72.83708,Bandra West,TWR_022,19.217375,72.97901,Thane,0,Monday,6,Wadala,Worli
USR_0227,2025-03-17 06:00:02,sms,TWR_003,19.033304,72.841369,Marine Lines,TWR_010,19.139484,72.840596,Mahim,0,Monday,6,Borivali,Bandra West
USR_0470,2025-03-17 06:00:03,data_session,TWR_019,19.186734,72.844439,Malad,TWR_019,19.18644,72.846028,Malad,148,Monday,6,Mulund,Andheri East
USR_0003,2025-03-17 06:00:04,data_session,TWR_029,19.043217,72.823331,Haji Ali,TWR_029,19.042788,72.820071,Haji Ali,783,Monday,6,Haji Ali,Powai
USR_0285,2025-03-17 06:00:05,sms,TWR_020,19.208717,72.840196,Kandivali,TWR_001,19.073123,72.877828,Churchgate,0,Monday,6,Bandra West,Bandra East
USR_0328,2025-03-17 06:00:07,call,TWR_005,19.090707,72.864755,Mumbai Central,TWR_013,19.113443,72.866427,Sion,200,Monday,6,Andheri West,Powai
USR_0270,2025-03-17 06:00:07,call,TWR_023,19.077546,72.896733,Chembur,TWR_027,19.10114,72.889523,Ghatkopar,39,Monday,6,Chembur,BKC
USR_0327,2025-03-17 06:00:08,data_session,TWR_010,19.138027,72.836002,Mahim,TWR_010,19.133691,72.837775,Mahim,917,Monday,6,Mahim,Lower Parel
USR_0294,2025-03-17 06:00:10,data_session,TWR_024,19.043846,72.819164,Nariman Point,TWR_024,19.043854,72.819734,Nariman Point,189,Monday,6,Goregaon,Lower Parel
USR_0090,2025-03-17 06:00:12,call,TWR_010,19.135109,72.837028,Mahim,TWR_030,19.17646,72.94873,Mulund,74,Monday,6,Mahim,BKC
USR_0093,2025-03-17 06:00:13,data_session,TWR_023,19.074753,72.899469,Chembur,TWR_023,19.073726,72.89529,Chembur,704,Monday,6,Chembur,Vikhroli
USR_0162,2025-03-17 06:00:14,call,TWR_011,19.05615,72.840357,Bandra West,TWR_029,19.043881,72.818294,Haji Ali,133,Monday,6,Bandra West,Lower Parel
USR_0435,2025-03-17 06:00:15,call,TWR_010,19.139977,72.835753,Mahim,TWR_013,19.1141,72.869405,Sion,5,Monday,6,Mahim,BKC
USR_0338,2025-03-17 06:00:15,call,TWR_016,19.120893,72.888371,Andheri East,TWR_015,19.11093,72.865732,Andheri West,30,Monday,6,Navy Nagar,Churchgate
USR_0166,2025-03-17 06:00:15,sms,TWR_026,19.026754,72.854422,Navy Nagar,TWR_011,19.049686,72.840955,Bandra West,0,Monday,6,Navy Nagar,Nariman Point
USR_0401,2025-03-17 06:00:15,sms,TWR_028,19.077079,72.878783,Wadala,TWR_016,19.116891,72.883497,Andheri East,0,Monday,6,Wadala,Churchgate
USR_0270,2025-03-17 06:00:17,call,TWR_012,19.061371,72.850054,Bandra East,TWR_004,19.054147,72.83997,Girgaon,11,Monday,6,Chembur,BKC
USR_0208,2025-03-17 06:00:19,data_session,TWR_019,19.184434,72.848452,Malad,TWR_019,19.188461,72.846043,Malad,98,Monday,6,Malad,Churchgate
USR_0233,2025-03-17 06:00:19,call,TWR_024,19.046699,72.81951,Nariman Point,TWR_023,19.076884,72.89995,Chembur,268,Monday,6,Navy Nagar,Marine Lines
USR_0223,2025-03-17 06:00:19,call,TWR_005,19.088745,72.865052,Mumbai Central,TWR_029,19.047802,72.823814,Haji Ali,76,Monday,6,Mahim,Nariman Point
USR_0270,2025-03-17 06:00:21,call,TWR_023,19.074581,72.902879,Chembur,TWR_015,19.115245,72.870337,Andheri West,81,Monday,6,Chembur,BKC
USR_0282,2025-03-17 06:00:22,call,TWR_018,19.166155,72.853,Goregaon,TWR_025,19.136258,72.916826,Vikhroli,117,Monday,6,Goregaon,Powai
USR_0294,2025-03-17 06:00:22,sms,TWR_002,19.016586,72.848946,Colaba,TWR_018,19.167549,72.847941,Goregaon,0,Monday,6,Goregaon,Lower Parel
USR_0088,2025-03-17 06:00:22,data_session,TWR_013,19.113378,72.86986,Sion,TWR_013,19.110693,72.869446,Sion,332,Monday,6,Sion,Vikhroli
USR_0354,2025-03-17 06:00:24,call,TWR_004,19.056111,72.840843,Girgaon,TWR_022,19.215522,72.978708,Thane,358,Monday,6,Girgaon,Worli
USR_0227,2025-03-17 06:00:24,data_session,TWR_021,19.232726,72.853823,Borivali,TWR_021,19.232282,72.857178,Borivali,292,Monday,6,Borivali,Bandra West
USR_0205,2025-03-17 06:00:25,data_session,TWR_030,19.176032,72.949665,Mulund,TWR_030,19.175324,72.951491,Mulund,307,Monday,6,Mulund,Andheri West
USR_0024,2025-03-17 06:00:25,call,TWR_029,19.042187,72.825083,Haji Ali,TWR_020,19.213638,72.83905,Kandivali,70,Monday,6,Haji Ali,Andheri East
USR_0267,2025-03-17 06:00:26,call,TWR_007,19.06986,72.874054,BKC,TWR_023,19.075127,72.900373,Chembur,66,Monday,6,Malad,Nariman Point
USR_0080,2025-03-17 06:00:28,data_session,TWR_004,19.055176,72.843617,Girgaon,TWR_004,19.055551,72.841318,Girgaon,977,Monday,6,Girgaon,Churchgate
USR_0167,2025-03-17 06:00:28,call,TWR_005,19.092145,72.866975,Mumbai Central,TWR_027,19.100067,72.891833,Ghatkopar,66,Monday,6,Wadala,Kandivali
USR_0110,2025-03-17 06:00:30,sms,TWR_014,19.123459,72.833466,Kurla,TWR_003,19.030583,72.83953,Marine Lines,0,Monday,6,Girgaon,Powai
USR_0158,2025-03-17 06:00:30,sms,TWR_015,19.111429,72.868955,Andheri West,TWR_003,19.032568,72.839029,Marine Lines,0,Monday,6,Andheri West,Borivali
USR_0269,2025-03-17 06:00:32,call,TWR_030,19.176032,72.949191,Mulund,TWR_027,19.10385,72.890162,Ghatkopar,236,Monday,6,Mulund,BKC
USR_0441,2025-03-17 06:00:33,call,TWR_027,19.098583,72.889483,Ghatkopar,TWR_007,19.072226,72.880476,BKC,226,Monday,6,Ghatkopar,Powai
USR_0374,2025-03-17 06:00:34,call,TWR_015,19.113255,72.869976,Andheri West,TWR_027,19.100988,72.891119,Ghatkopar,5,Monday,6,Malad,Girgaon
USR_0215,2025-03-17 06:00:34,data_session,TWR_021,19.232237,72.858851,Borivali,TWR_021,19.228851,72.85618,Borivali,320,Monday,6,Borivali,Andheri East
USR_0426,2025-03-17 06:00:34,call,TWR_029,19.04546,72.822643,Haji Ali,TWR_010,19.13801,72.833735,Mahim,221,Monday,6,Andheri West,Bandra East
USR_0208,2025-03-17 06:00:36,call,TWR_014,19.124299,72.831752,Kurla,TWR_020,19.209416,72.842632,Kandivali,115,Monday,6,Malad,Churchgate
USR_0208,2025-03-17 06:00:36,sms,TWR_008,19.050487,72.82944,Lower Parel,TWR_015,19.111281,72.868799,Andheri West,0,Monday,6,Malad,Churchgate
USR_0278,2025-03-17 06:00:40,data_session,TWR_013,19.11195,72.871058,Sion,TWR_013,19.111491,72.864953,Sion,18,Monday,6,Kandivali,Churchgate
USR_0093,2025-03-17 06:00:40,data_session,TWR_028,19.074805,72.879312,Wadala,TWR_028,19.070812,72.884968,Wadala,382,Monday,6,Chembur,Vikhroli
USR_0068,2025-03-17 06:00:42,call,TWR_023,19.075059,72.895175,Chembur,TWR_010,19.13825,72.834595,Mahim,88,Monday,6,Chembur,Marine Lines
USR_0402,2025-03-17 06:00:42,call,TWR_028,19.074782,72.883534,Wadala,TWR_011,19.05314,72.842269,Bandra West,54,Monday,6,Wadala,Churchgate
USR_0072,2025-03-17 06:00:42,data_session,TWR_011,19.054927,72.840351,Bandra West,TWR_011,19.056151,72.839817,Bandra West,121,Monday,6,Bandra West,BKC
USR_0327,2025-03-17 06:00:42,call,TWR_019,19.184668,72.845896,Malad,TWR_020,19.208719,72.839872,Kandivali,28,Monday,6,Mahim,Lower Parel
USR_0337,2025-03-17 06:00:43,data_session,TWR_002,19.017216,72.847562,Colaba,TWR_002,19.016506,72.844517,Colaba,267,Monday,6,Andheri West,Lower Parel
USR_0453,2025-03-17 06:00:44,sms,TWR_021,19.230455,72.85491,Borivali,TWR_006,19.061618,72.83211,Worli,0,Monday,6,Borivali,Churchgate
USR_0463,2025-03-17 06:00:44,data_session,TWR_010,19.135037,72.834403,Mahim,TWR_010,19.138383,72.837322,Mahim,363,Monday,6,Mahim,Marine Lines
USR_0011,2025-03-17 06:00:44,data_session,TWR_029,19.043326,72.818552,Haji Ali,TWR_029,19.043475,72.820302,Haji Ali,173,Monday,6,Bandra West,Marine Lines
USR_0221,2025-03-17 06:00:44,data_session,TWR_023,19.07377,72.893536,Chembur,TWR_023,19.074583,72.897225,Chembur,301,Monday,6,Chembur,Malad
USR_0307,2025-03-17 06:00:44,call,TWR_016,19.119572,72.884804,Andheri East,TWR_020,19.206316,72.843052,Kandivali,45,Monday,6,Goregaon,Mahim
USR_0241,2025-03-17 06:00:44,sms,TWR_011,19.051292,72.841982,Bandra West,TWR_007,19.069459,72.875495,BKC,0,Monday,6,Bandra West,Worli
USR_0030,2025-03-17 06:00:46,data_session,TWR_002,19.015762,72.846171,Colaba,TWR_002,19.016889,72.847092,Colaba,430,Monday,6,Navy Nagar,Worli
USR_0424,2025-03-17 06:00:46,data_session,TWR_019,19.186711,72.848865,Malad,TWR_019,19.184057,72.848126,Malad,26,Monday,6,Malad,Vikhroli
